area,hour,n
Sri Kanakadasa Circle,0,156
Sri Kanakadasa Circle,1,481
Sri Kanakadasa Circle,2,174
Sri Kanakadasa Circle,3,123
Sri Kanakadasa Circle,4,139
Sri Kanakadasa Circle,5,155
Sri Kanakadasa Circle,6,219
Sri Kanakadasa Circle,7,196
Sri Kanakadasa Circle,8,300
Sri Kanakadasa Circle,9,412
Sri Kanakadasa Circle,10,270
Sri Kanakadasa Circle,11,175
Sri Kanakadasa Circle,12,181
Sri Kanakadasa Circle,13,53
Sri Kanakadasa Circle,14,35
Sri Kanakadasa Circle,17,1
Sri Krishna Rajendra Market,0,254
Sri Krishna Rajendra Market,1,438
Sri Krishna Rajendra Market,2,179
Sri Krishna Rajendra Market,3,71
Sri Krishna Rajendra Market,4,87
Sri Krishna Rajendra Market,5,223
Sri Krishna Rajendra Market,6,156
Sri Krishna Rajendra Market,7,140
Sri Krishna Rajendra Market,8,281
Sri Krishna Rajendra Market,9,338
Sri Krishna Rajendra Market,10,185
Sri Krishna Rajendra Market,11,171
Sri Krishna Rajendra Market,12,29
Sri Krishna Rajendra Market,13,5
Sri Krishna Rajendra Market,15,12
Sri Krishna Rajendra Market,20,2
Sri Krishna Rajendra Market,21,7
Sri Krishna Rajendra Market,22,40
Sri Krishna Rajendra Market,23,117
Sri Nagamma Devi Circle,0,13
Sri Nagamma Devi Circle,1,26
Sri Nagamma Devi Circle,2,2
Sri Nagamma Devi Circle,3,22
Sri Nagamma Devi Circle,4,69
Sri Nagamma Devi Circle,5,181
Sri Nagamma Devi Circle,6,346
Sri Nagamma Devi Circle,7,554
Sri Nagamma Devi Circle,8,843
Sri Nagamma Devi Circle,9,1141
Sri Nagamma Devi Circle,10,1719
Sri Nagamma Devi Circle,11,1377
Sri Nagamma Devi Circle,12,766
Sri Nagamma Devi Circle,13,630
Sri Nagamma Devi Circle,14,408
Sri Nagamma Devi Circle,15,112
Sri Nagamma Devi Circle,16,6
Sri Nagamma Devi Circle,23,5
Star Circle,0,3
Star Circle,1,29
Star Circle,2,48
Star Circle,3,119
Star Circle,4,142
Star Circle,5,140
Star Circle,6,133
Star Circle,7,190
Star Circle,8,207
Star Circle,9,165
Star Circle,10,139
Star Circle,11,126
Star Circle,12,65
Star Circle,13,23
Star Circle,14,26
Star Circle,15,10
Star Circle,18,3
Star Circle,21,1
Tasker Town,0,9
Tasker Town,1,3
Tasker Town,2,10
Tasker Town,3,23
Tasker Town,4,131
Tasker Town,5,388
Tasker Town,6,324
Tasker Town,7,695
Tasker Town,8,1410
Tasker Town,9,1023
Tasker Town,10,1663
Tasker Town,11,1420
Tasker Town,12,584
Tasker Town,13,380
Tasker Town,14,195
Tasker Town,15,42
Tasker Town,17,4
The Metropolitan Cooperative Housing Society,2,11
The Metropolitan Cooperative Housing Society,3,10
The Metropolitan Cooperative Housing Society,4,33
The Metropolitan Cooperative Housing Society,5,63
The Metropolitan Cooperative Housing Society,6,27
The Metropolitan Cooperative Housing Society,7,22
The Metropolitan Cooperative Housing Society,8,23
The Metropolitan Cooperative Housing Society,9,43
The Metropolitan Cooperative Housing Society,10,136
The Metropolitan Cooperative Housing Society,11,163
The Metropolitan Cooperative Housing Society,12,177
The Metropolitan Cooperative Housing Society,13,136
The Metropolitan Cooperative Housing Society,14,164
The Metropolitan Cooperative Housing Society,15,20
The Metropolitan Cooperative Housing Society,16,3
The Metropolitan Cooperative Housing Society,17,4
Thulasi Thottam,0,4
Thulasi Thottam,1,22
Thulasi Thottam,2,122
Thulasi Thottam,3,192
Thulasi Thottam,4,156
Thulasi Thottam,5,53
Thulasi Thottam,6,95
Thulasi Thottam,7,58
Thulasi Thottam,8,51
Thulasi Thottam,9,54
Thulasi Thottam,10,24
Thulasi Thottam,11,13
Thulasi Thottam,13,10
Thulasi Thottam,14,2
Venkatappa Colony,0,56
Venkatappa Colony,1,308
Venkatappa Colony,2,114
Venkatappa Colony,3,57
Venkatappa Colony,4,76
Venkatappa Colony,5,46
Venkatappa Colony,6,246
Venkatappa Colony,7,72
Venkatappa Colony,8,16
Venkatappa Colony,9,46
Venkatappa Colony,10,34
Venkatappa Colony,11,36
Venkatappa Colony,12,35
Venkatappa Colony,13,1
Venkatappa Colony,14,2
Vinayaka Nagar,0,1
Vinayaka Nagar,1,47
Vinayaka Nagar,2,145
Vinayaka Nagar,3,390
Vinayaka Nagar,4,415
Vinayaka Nagar,5,319
Vinayaka Nagar,6,160
Vinayaka Nagar,7,190
Vinayaka Nagar,8,161
Vinayaka Nagar,9,264
Vinayaka Nagar,10,289
Vinayaka Nagar,11,341
Vinayaka Nagar,12,186
Vinayaka Nagar,13,122
Vinayaka Nagar,14,60
Vinayaka Nagar,15,8
Vinayaka Nagar,17,6
Walton Road Circle,1,4
Walton Road Circle,2,11
Walton Road Circle,3,19
Walton Road Circle,4,34
Walton Road Circle,5,54
Walton Road Circle,6,41
Walton Road Circle,7,110
Walton Road Circle,8,32
Walton Road Circle,9,95
Walton Road Circle,10,90
Walton Road Circle,11,123
Walton Road Circle,12,51
Walton Road Circle,13,13
Walton Road Circle,14,3
