h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
89618921a83ffff,-5.500000000000001,7.666666666666667,-71.7,Pioneer Moonstone,13.00783164546451,77.75956886200628,21.72,Mahadevapura,39,Improving
8960145b46fffff,-4.999999999999999,7.0,-71.4,Sri Katan Layout,12.988139273092816,77.58393967366933,17.52,High ground,21,Improving
8960145b6a7ffff,-216.79999999999998,309.5,-70.0,Kalpana Circle,12.99240244249606,77.587621962968,71.12,High ground,1637,Improving
8961892ecb3ffff,-29.60000000000001,42.5,-69.6,Indian Airlines Staff Quarters,12.96867804802574,77.64741906727654,46.24,Jeevanbheemanagar,197,Improving
8961892e2a7ffff,-12.799999999999997,18.5,-69.2,ITI Township,13.00702321135293,77.68903256451524,32.46,K.R. Pura,85,Improving
89618924e4fffff,-1.8999999999999997,2.75,-69.1,Delmia Circle,12.905794352099285,77.59519232495015,14.8,J.P. Nagar,17,Improving
89601459133ffff,-3.4285714285714275,5.0,-68.6,Peenya SRS,13.036423259226542,77.51796880590841,12.41,Peenya,15,Improving
89618924a03ffff,-15.928571428571427,23.333333333333332,-68.3,Shakambari Nagar,12.911208343428934,77.57663272339414,28.36,J.P. Nagar,73,Improving
8961892e693ffff,-2.5000000000000004,3.6666666666666665,-68.2,MD Pura,12.990868806728484,77.71948764987803,13.75,Mahadevapura,14,Improving
89618924ac7ffff,-7.85714285714286,11.666666666666666,-67.3,ITI Layout,12.910119500570376,77.5820287598924,20.64,J.P. Nagar,37,Improving
8961892549bffff,-1.7857142857142854,2.6666666666666665,-67.0,Adarsh Palm Retreat Lake Front,12.91934258443281,77.6851209577532,8.07,HAL Old Airport,8,Improving
8960145b02bffff,-3.500000000000001,5.25,-66.7,Subhash Nagar,12.99674679400991,77.56603251179783,17.7,Malleshwaram,22,Improving
89618920bcfffff,-10.000000000000005,15.0,-66.7,Purva Riviera,12.957748075045457,77.70987781340443,24.2,HAL Old Airport,49,Improving
8961892766fffff,-3.999999999999999,6.0,-66.7,Ram Circle,12.905356947760783,77.70475949362172,19.33,Bellandur,25,Improving
