h3,lat,lon,area,police_station,growth_x,delta_per_day,base_rate,rec_rate,rec_n,CIS,top_violation
89618925bd3ffff,12.953892620527329,77.59660318734012,NGO Colony,Wilson Garden,4.0,0.253,0.06422018348623854,0.3170731707317073,13.0,17.24,WRONG PARKING
8960169050bffff,13.183442262734433,77.6914556126405,Chikkanahalli North Taluka,Chikkajala,4.0,0.417,0.11926605504587157,0.5365853658536586,22.0,20.37,WRONG PARKING
89618925b97ffff,12.945367286220227,77.58923879122379,Siddapura Circle,Wilson Garden,3.99,0.637,0.1926605504587156,0.8292682926829268,34.0,26.47,NO PARKING
8960145a29bffff,12.957241227232606,77.55514548671897,AR Compound,Chamarajpet,3.93,0.597,0.1834862385321101,0.7804878048780488,32.0,28.38,WRONG PARKING
8960145867bffff,13.009664838996999,77.53496645735052,APMC Government Quarters,Rajajinagar,3.87,0.268,0.07339449541284404,0.34146341463414637,14.0,20.37,NO PARKING
8961892cca7ffff,13.022247318788272,77.61340511069417,Sowkar Nagar,K.G. Halli,3.87,0.268,0.07339449541284404,0.34146341463414637,14.0,16.13,WRONG PARKING
89618925b27ffff,12.95503872899199,77.5743590553384,Chandra Shekhar Bharati Layout,V.V.Puram (C.Pet),3.86,0.503,0.1559633027522936,0.6585365853658537,27.0,23.19,NO PARKING
89618920ed7ffff,12.944751596742742,77.74943055239919,BCM Layout,Whitefield,3.84,0.213,0.05504587155963303,0.2682926829268293,11.0,14.17,WRONG PARKING
89601459407ffff,13.029896350435614,77.55876499874549,Mathikere Extension,Yeshwanthpura,3.79,0.158,0.03669724770642202,0.1951219512195122,8.0,10.66,WRONG PARKING
8960145b14bffff,12.996773274802708,77.55761010772231,Mariappanapalya,Malleshwaram,3.74,0.533,0.1743119266055046,0.7073170731707317,29.0,26.13,WRONG PARKING
89618925d27ffff,12.917585911201643,77.58636545100751,Sri Aurobindo Circle,Jayanagara,3.74,0.533,0.1743119266055046,0.7073170731707317,29.0,26.89,WRONG PARKING
8960145a643ffff,12.956125928712485,77.56896267104027,Shri Ma Ramamurthy Circle,V.V.Puram (C.Pet),3.72,0.478,0.1559633027522936,0.6341463414634146,26.0,25.53,NO PARKING
896189256cfffff,12.950344127267098,77.68866373199731,Divyasree Technopolis,HAL Old Airport,3.72,0.353,0.11009174311926606,0.4634146341463415,19.0,19.12,NO PARKING
8960145a66bffff,12.959358355046797,77.56119618074078,Sirsi Circle,Chamarajpet,3.65,0.563,0.1926605504587156,0.7560975609756098,31.0,27.87,PARKING IN A MAIN ROAD
8960145b313ffff,13.006384767834748,77.55957550906031,Block A,Malleshwaram,3.64,0.174,0.045871559633027525,0.21951219512195122,9.0,12.15,WRONG PARKING
89618925917ffff,12.930433802467139,77.58056462933536,Shri Vinayaka Circle,Jayanagara,3.62,3.688,1.385321100917431,5.073170731707317,208.0,50.93,NO PARKING
8961892e167ffff,12.9921436344337,77.66347675018947,Gopalan Grand Mall,Banaswadi,3.61,1.443,0.5321100917431193,1.975609756097561,81.0,38.34,NO PARKING
89618926b57ffff,12.855579716233356,77.58773078395566,Hexa Skyline,Hulimavu,3.61,0.244,0.07339449541284404,0.3170731707317073,13.0,16.72,NO PARKING
8960145a213ffff,12.961531595750946,77.5504050575149,Old Guddadahalli,Magadi Road,3.53,0.329,0.11009174311926606,0.43902439024390244,18.0,17.99,NO PARKING
89618925e73ffff,12.953802474948665,77.62188034479114,Sannenahalli,Ashok Nagar,3.52,0.189,0.05504587155963303,0.24390243902439024,10.0,14.4,WRONG PARKING
89618925c1bffff,12.927074311657892,77.62203030021935,Koramangala Water Tank Junction,Madiwala,3.38,0.375,0.13761467889908258,0.5121951219512195,21.0,21.62,WRONG PARKING
8961892c983ffff,13.030880206874519,77.5870647301248,UAS Quarters,Kodigehalli,3.35,0.219,0.07339449541284404,0.2926829268292683,12.0,17.49,WRONG PARKING
8960145b567ffff,12.977523183604852,77.56210130950738,Gopalapuram,Magadi Road,3.27,0.149,0.045871559633027525,0.1951219512195122,8.0,14.49,WRONG PARKING
8961892429bffff,12.90454094322411,77.64271705932173,Ramachandra Reddy Layout,HSR Layout,3.21,0.551,0.22935779816513763,0.7804878048780488,32.0,29.74,WRONG PARKING
8961892493bffff,12.882465960317532,77.54547932837262,Centreo Apartment,Thalagattapura,3.19,0.164,0.05504587155963303,0.21951219512195122,9.0,14.25,WRONG PARKING
8961892436bffff,12.914286839108176,77.61098083761343,Ram Sridhar Apartment,Mico Layout,3.19,0.265,0.10091743119266056,0.36585365853658536,15.0,17.2,NO PARKING
8961892e913ffff,12.983763254909702,77.61395920281534,Shree Circle,Pulikeshinagar(F.Town),3.16,1.33,0.5963302752293578,1.9268292682926829,79.0,39.73,NO PARKING
896189243dbffff,12.90460732110776,77.62586358134249,Bommanahalli,Madiwala,3.09,0.311,0.12844036697247707,0.43902439024390244,18.0,23.03,NO PARKING
8960145b157ffff,12.99036564246649,77.55629993246922,ESI Hospital Junction,Rajajinagar,3.08,1.413,0.6605504587155964,2.073170731707317,85.0,39.9,WRONG PARKING
8960145b237ffff,13.012766632726953,77.56930902145554,Sri Maramma Temple Circle,Malleshwaram,3.07,0.326,0.13761467889908258,0.4634146341463415,19.0,21.96,WRONG PARKING
896014594b7ffff,13.020284990712538,77.55679949061893,Yeshwanthapura Circle,Yeshwanthpura,3.01,1.626,0.7889908256880734,2.4146341463414633,99.0,42.85,WRONG PARKING
8960145a2d3ffff,12.961503674767634,77.55882581525834,Kaniyar Colony,Chamarajpet,2.99,0.533,0.24770642201834864,0.7804878048780488,32.0,28.64,NO PARKING
89618921887ffff,12.98432544522287,77.75192540220347,Hope Farm Circle,Whitefield,2.97,0.563,0.26605504587155965,0.8292682926829268,34.0,32.37,WRONG PARKING
8961892cb0fffff,13.062947053522507,77.5851958499751,Oscar Orchards,Kodigehalli,2.97,0.256,0.11009174311926606,0.36585365853658536,15.0,20.26,WRONG PARKING
896189254b7ffff,12.915113558480368,77.67300308833273,Srinivasa Classic,Bellandur,2.96,0.578,0.27522935779816515,0.8536585365853658,35.0,28.79,NO PARKING
8961892cc1bffff,13.031834612895974,77.62380248024556,Sri Muthu Mariyamma Circle,K.G. Halli,2.91,0.493,0.23853211009174313,0.7317073170731707,30.0,23.39,NO PARKING
8961892586fffff,12.95068814105564,77.59594748863539,NGO Colony,Wilson Garden,2.9,0.508,0.24770642201834864,0.7560975609756098,31.0,29.22,NO PARKING
8961892eb83ffff,13.000845765441033,77.62026786302566,Pottery Road CHS,Pulikeshinagar(F.Town),2.9,0.508,0.24770642201834864,0.7560975609756098,31.0,28.59,NO PARKING
896189253cfffff,12.957973175560554,77.65085002785956,Manipal Hospital Junction,Jeevanbheemanagar,2.87,0.569,0.28440366972477066,0.8536585365853658,35.0,28.77,NO PARKING
89618925c8fffff,12.92066450523223,77.62071813200546,Market Square Value Mall,Madiwala,2.87,1.014,0.5229357798165137,1.5365853658536586,63.0,38.84,NO PARKING
8960145b5a3ffff,12.96362089285422,77.56487686913171,Karnataka Police Staff Quarters,Chamarajpet,2.87,0.14,0.05504587155963303,0.1951219512195122,8.0,12.68,WRONG PARKING
8961892ec77ffff,12.98258747286289,77.6446446134957,George Thangiah Complex,Jeevanbheemanagar,2.87,0.14,0.05504587155963303,0.1951219512195122,8.0,14.37,WRONG PARKING
8961892c96fffff,13.048010786985785,77.5765189678923,Nagashetty Halli,Kodigehalli,2.82,7.402,4.036697247706422,11.439024390243903,469.0,64.79,WRONG PARKING
89618921acfffff,13.017452443258083,77.76154509246324,Tivoli Apartment,Mahadevapura,2.81,0.186,0.08256880733944955,0.2682926829268293,11.0,14.56,WRONG PARKING
8960145b5bbffff,12.964679501013965,77.56790258188853,Police Quarters,Chamarajpet,2.78,0.231,0.11009174311926606,0.34146341463414637,14.0,19.68,NO PARKING
89618925ba7ffff,12.947542920685079,77.57844494889376,Lalbhagh West Gate Circle,Basavanagudi,2.76,0.682,0.3669724770642202,1.048780487804878,43.0,33.22,NO PARKING
8960169046fffff,13.197304601114366,77.70556119729233,Arisinakunte,Devanahalli Airport,2.76,0.277,0.13761467889908258,0.4146341463414634,17.0,21.57,NO PARKING
89618925c6fffff,12.93566235768038,77.61254521974081,UCO Bank Junction,Adugodi,2.76,2.048,1.146788990825688,3.1951219512195124,131.0,48.97,NO PARKING
8960145b5a7ffff,12.962562284101672,77.56185128025189,Sirsi Circle,Chamarajpet,2.75,0.292,0.14678899082568808,0.43902439024390244,18.0,19.28,NO PARKING
8961892e90fffff,12.988055223834326,77.60921604741871,Nehru Puram,Pulikeshinagar(F.Town),2.75,0.773,0.42201834862385323,1.1951219512195121,49.0,31.06,NO PARKING
89618925b87ffff,12.947513430842381,77.58686798044789,Siddapura Circle,Wilson Garden,2.72,0.444,0.23853211009174313,0.6829268292682927,28.0,24.3,NO PARKING
8961892e16fffff,12.995349105006893,77.66413373661831,Gopalan Grand Mall,Banaswadi,2.72,2.541,1.4587155963302751,4.0,164.0,50.95,WRONG PARKING
89618925977ffff,12.937930322970495,77.57647891671995,Krest Park Apartment,Basavanagudi,2.68,1.327,0.7706422018348624,2.097560975609756,86.0,40.47,WRONG PARKING
896016961a7ffff,13.082285237805257,77.54700394113785,Mohammad Sab Palya Circle,Yelahanka,2.62,0.359,0.2018348623853211,0.5609756097560976,23.0,27.27,NO PARKING
8960145a2d7ffff,12.960445064863405,77.55580047416036,AR Compound,Chamarajpet,2.62,0.344,0.1926605504587156,0.5365853658536586,22.0,25.36,PARKING IN A MAIN ROAD
8961892cccfffff,13.032893936677823,77.62683107059931,CMR Garden,K.G. Halli,2.61,0.313,0.1743119266055046,0.4878048780487805,20.0,19.99,NO PARKING
896189255dbffff,12.919410295968431,77.66825867162429,Bellandur Gate,Bellandur,2.61,0.283,0.1559633027522936,0.43902439024390244,18.0,20.83,WRONG PARKING
8960145b0cfffff,12.99563399408002,77.5798531227976,DN Ramaiah Layout,Sheshadripuram,2.6,0.253,0.13761467889908258,0.3902439024390244,16.0,21.82,NO PARKING
89618927673ffff,12.901058210412353,77.70950512219127,East Park Residences,Whitefield,2.6,0.237,0.12844036697247707,0.36585365853658536,15.0,20.41,WRONG PARKING
8960145a51bffff,12.919883304691218,77.54189287697308,Thimmaraya Gowda Layout,Banashankari,2.6,0.222,0.11926605504587157,0.34146341463414637,14.0,20.73,PARKING IN A MAIN ROAD
8960145a6cbffff,12.951834596206911,77.57370374949657,Vanivilas Circle,V.V.Puram (C.Pet),2.6,0.222,0.11926605504587157,0.34146341463414637,14.0,20.65,NO PARKING
8960145a423ffff,12.926261301857247,77.55162135202855,Kathriguppe Circle,Banashankari,2.59,2.407,1.4954128440366972,3.902439024390244,160.0,49.1,NO PARKING
896189253c3ffff,12.955825855338745,77.65322217673211,Golf Manor Apartment,Jeevanbheemanagar,2.59,0.192,0.10091743119266056,0.2926829268292683,12.0,20.25,PARKING IN A MAIN ROAD
8960145b0b7ffff,12.982844869699399,77.56880819008043,Platform Road Junction,Sheshadripuram,2.57,0.161,0.08256880733944955,0.24390243902439024,10.0,14.69,NO PARKING
8960145b4c3ffff,12.978470030208513,77.59882231108581,Mantri Altiue Apartment,Cubbon Park,2.56,0.146,0.07339449541284404,0.21951219512195122,9.0,17.32,WRONG PARKING
8960145a427ffff,12.925203195422025,77.5485966272477,Bengaluru,Banashankari,2.55,0.131,0.06422018348623854,0.1951219512195122,8.0,15.76,WRONG PARKING
8961892e2a3ffff,13.008081785457465,77.69206334820882,Devasandra Junction,K.R. Pura,2.55,2.16,1.3761467889908257,3.5365853658536586,145.0,50.93,WRONG PARKING
89618924a07ffff,12.91015060802967,77.57360720829021,SNN Raj Spiritua,J.P. Nagar,2.54,1.418,0.8990825688073395,2.317073170731707,95.0,41.83,WRONG PARKING
8960145b5b7ffff,12.96041691810413,77.56422171358516,Sirsi Circle,Chamarajpet,2.5,0.32,0.1926605504587156,0.5121951219512195,21.0,25.78,WRONG PARKING
89618925943ffff,12.94110476446078,77.5855569746218,Kanakana Palya,Wilson Garden,2.49,0.508,0.3211009174311927,0.8292682926829268,34.0,31.24,NO PARKING
89618925bcfffff,12.958184851330957,77.5918611747243,Sri Jai Maruthi Eat Out Junction,Wilson Garden,2.49,0.289,0.1743119266055046,0.4634146341463415,19.0,23.98,NO PARKING
8961892cb57ffff,13.065067090908125,77.59125087474521,Ganapathinagar,Kodigehalli,2.41,0.898,0.6146788990825688,1.5121951219512195,62.0,37.31,WRONG PARKING
8961892e687ffff,12.99195873938711,77.71408236486418,Hoodi Circle,Mahadevapura,2.4,0.183,0.11009174311926606,0.2926829268292683,12.0,19.28,WRONG PARKING
8960145934fffff,13.070575954366223,77.53056516105063,Divya Limelite,Jalahalli,2.38,0.167,0.10091743119266056,0.2682926829268293,11.0,19.24,WRONG PARKING
89618924a43ffff,12.918674630614579,77.58096903580913,Jayanagar,Jayanagara,2.36,0.265,0.1743119266055046,0.43902439024390244,18.0,24.22,WRONG PARKING
8960145912fffff,13.040709406515866,77.51322862819842,Krishna Gowda Layout,Peenya,2.35,0.475,0.3302752293577982,0.8048780487804879,33.0,30.8,NO PARKING
8960145a6dbffff,12.949688801316903,77.57607433408133,Sri Vasavi Circle,V.V.Puram (C.Pet),2.35,0.572,0.4036697247706422,0.975609756097561,40.0,31.01,NO PARKING
8961892cb27ffff,13.059766990416827,77.5761142420096,Kodigehalli Circle,Kodigehalli,2.35,0.669,0.47706422018348627,1.146341463414634,47.0,35.68,WRONG PARKING
8960145b17bffff,12.994654954651589,77.55155894796208,Rajaji Nagar,Rajajinagar,2.34,1.868,1.3761467889908257,3.2439024390243905,133.0,47.2,WRONG PARKING
89601458413ffff,12.97654518130412,77.53381451036765,Gangadhara Layout,Vijayanagara,2.34,0.137,0.08256880733944955,0.21951219512195122,9.0,15.54,WRONG PARKING
896014594c3ffff,13.03093101821963,77.57021486830193,BEL Employees HBCS,Sadashivanagar,2.34,0.137,0.08256880733944955,0.21951219512195122,9.0,17.9,NO PARKING
89618920a83ffff,12.955532367899817,77.72912366506138,Siddapura,Whitefield,2.34,0.137,0.08256880733944955,0.21951219512195122,9.0,15.74,WRONG PARKING
896189243afffff,12.898263152184532,77.60770167294788,Someshwara Layout,Mico Layout,2.3,0.122,0.07339449541284404,0.1951219512195122,8.0,15.13,NO PARKING
8961892e993ffff,12.976266153356367,77.6180463329245,HM Gladiolus,Halasur,2.29,0.286,0.2018348623853211,0.4878048780487805,20.0,23.09,NO PARKING
89601458697ffff,12.990418306662551,77.5394581158736,Basaveshwara Nagar,Vijayanagara,2.29,0.368,0.26605504587155965,0.6341463414634146,26.0,29.72,WRONG PARKING
8960145b297ffff,13.005246527671353,77.5818197031409,Palace Orchard Upper,Sadashivanagar,2.29,0.368,0.26605504587155965,0.6341463414634146,26.0,27.86,NO PARKING
8961892096bffff,12.943899140646572,77.69578231413942,Bellandur Amanikere,HAL Old Airport,2.26,0.338,0.24770642201834864,0.5853658536585366,24.0,28.24,PARKING IN A MAIN ROAD
8960145b003ffff,12.993515958516587,77.57380031692995,Krishna Block,Sheshadripuram,2.26,0.8,0.6146788990825688,1.4146341463414633,58.0,37.97,NO PARKING
896014598dbffff,13.04716012572664,77.49770049375356,Nagasandra,Chikkabanavara,2.25,0.173,0.11926605504587157,0.2926829268292683,12.0,22.1,PARKING IN A MAIN ROAD
89618925c57ffff,12.930279224347764,77.62268641203792,Koramangala,Adugodi,2.25,0.173,0.11926605504587157,0.2926829268292683,12.0,17.61,WRONG PARKING
8960145a283ffff,12.956182662498325,77.55212032556005,PMM Compound,Chamarajpet,2.22,0.158,0.11009174311926606,0.2682926829268293,11.0,19.39,WRONG PARKING
8961892e383ffff,13.000641779890618,77.67928366926746,Venkatappa Colony,Mahadevapura,2.22,1.429,1.1559633027522935,2.5853658536585367,106.0,47.78,PARKING IN A MAIN ROAD
89618924a77ffff,12.91550114969663,77.57189215439784,Prestige Brooklyn Heights,K.S. Layout,2.19,0.395,0.3119266055045872,0.7073170731707317,29.0,28.66,NO PARKING
896189258d7ffff,12.937809155145697,77.6101740248907,Vaishnavi Silicon Terraces,Adugodi,2.18,0.262,0.2018348623853211,0.4634146341463415,19.0,22.78,WRONG PARKING
896189251a7ffff,12.924895042451425,77.63282840454069,SBI Colony,Adugodi,2.18,0.736,0.6055045871559633,1.3414634146341464,55.0,39.52,NO PARKING
89601458687ffff,12.99256264868298,77.53708794077231,Basaveshwara Nagar,Vijayanagara,2.17,0.721,0.5963302752293578,1.3170731707317074,54.0,37.96,WRONG PARKING
8961892185bffff,13.001417808358338,77.75825146769112,Sri Sathya Sai Gokulam,Mahadevapura,2.16,0.246,0.1926605504587156,0.43902439024390244,18.0,24.85,WRONG PARKING
8960145b1c7ffff,12.985017010631369,77.55801537264709,Rajaji Nagar,Rajajinagar,2.15,0.35,0.28440366972477066,0.6341463414634146,26.0,27.34,WRONG PARKING
89618924a8bffff,12.90691519480368,77.58137341326427,Learning to Fly,J.P. Nagar,2.14,0.179,0.13761467889908258,0.3170731707317073,13.0,18.86,NO PARKING
89618924ec7ffff,12.895091060602953,77.59862238831892,Indian Institute of Management,J.P. Nagar,2.12,0.976,0.8532110091743119,1.829268292682927,75.0,38.28,NO PARKING
8961892ebb3ffff,12.998728024713742,77.61421192715285,Frazer Town,Pulikeshinagar(F.Town),2.1,0.547,0.47706422018348627,1.024390243902439,42.0,31.18,NO PARKING
8960145b01bffff,12.994574976656478,77.57682665793281,Renaissance Crags,Sheshadripuram,2.1,0.113,0.08256880733944955,0.1951219512195122,8.0,14.72,NO PARKING
8961892487bffff,12.89733394768908,77.57098653087314,Narasamma Layout,K.S. Layout,2.08,0.201,0.1651376146788991,0.36585365853658536,15.0,21.95,NO PARKING
8960145a323ffff,12.956292854012514,77.51844520631552,Manasa Layout,Byatarayanapura,2.08,1.833,1.6788990825688073,3.5121951219512195,144.0,51.34,WRONG PARKING
8960145b3b3ffff,12.99891789453657,77.55523952514251,Rajaji Nagar,Malleshwaram,2.08,0.377,0.3302752293577982,0.7073170731707317,29.0,29.97,WRONG PARKING
89618924aabffff,12.906946433173966,77.57295201125342,Jaraganahalli Circle,J.P. Nagar,2.08,0.377,0.3302752293577982,0.7073170731707317,29.0,29.6,NO PARKING
89618924827ffff,12.887753273256596,77.56060150867145,Gopalan Jewels,Thalagattapura,2.07,0.414,0.3669724770642202,0.7804878048780488,32.0,32.36,NO PARKING
8961892e943ffff,12.993377421558263,77.61592752561967,Ranka D Paradise,Pulikeshinagar(F.Town),2.07,0.942,0.8623853211009175,1.8048780487804879,74.0,41.39,NO PARKING
89618925b73ffff,12.961418272288581,77.58409287131197,Kumbaragundi,Halasuru Gate,2.06,0.626,0.5688073394495413,1.1951219512195121,49.0,35.75,NO PARKING
8961892480bffff,12.89198311723081,77.57270148191178,Kuvempu Circle,Thalagattapura,2.05,0.186,0.1559633027522936,0.34146341463414637,14.0,21.29,WRONG PARKING
8961892404fffff,12.898164029556503,77.63297741507446,Vajpayee Nagar,Madiwala,2.05,0.31,0.27522935779816515,0.5853658536585366,24.0,29.09,WRONG PARKING
89601458037ffff,12.990520353527836,77.50578406103945,Sunkadakatte,Kamakshipalya,2.04,0.347,0.3119266055045872,0.6585365853658537,27.0,29.69,WRONG PARKING
8961892e073ffff,12.998464151233883,77.69009087562041,IWF Campus,Mahadevapura,2.03,0.295,0.26605504587155965,0.5609756097560976,23.0,26.47,WRONG PARKING
8960145a28bffff,12.959386454400294,77.55277525696718,Mominpura,Magadi Road,2.03,0.134,0.11009174311926606,0.24390243902439024,10.0,19.1,PARKING IN A MAIN ROAD
8961892602bffff,12.839271476298808,77.65184177088231,Concord Silicon Valley,Electronic City,2.02,0.17,0.14678899082568808,0.3170731707317073,13.0,19.62,WRONG PARKING
89601696683ffff,13.09817031930295,77.60083855243236,Raitarasanthe,Yelahanka,2.01,1.967,1.9357798165137614,3.902439024390244,160.0,48.8,NO PARKING
89618924933ffff,12.879262192116222,77.54482469012045,Raghuvanahalli,Thalagattapura,1.99,0.301,0.28440366972477066,0.5853658536585366,24.0,29.6,WRONG PARKING
89618925eb7ffff,12.937778180199137,77.61859979169184,KHB Colony,Adugodi,1.99,0.301,0.28440366972477066,0.5853658536585366,24.0,27.61,NO PARKING
8960145a46bffff,12.936931025861993,77.55661100094346,Sri Srinivasa Nagar Circle,Basavanagudi,1.99,0.192,0.1743119266055046,0.36585365853658536,15.0,24.72,WRONG PARKING
89601459e87ffff,13.044995209010441,77.50848857222482,Hesaragatta Cross Junction,Chikkabanavara,1.97,0.912,0.9174311926605505,1.829268292682927,75.0,43.79,WRONG PARKING
8960145b0dbffff,12.99454776958782,77.58525082213704,RV Layout,High ground,1.94,0.14,0.12844036697247707,0.2682926829268293,11.0,19.22,NO PARKING
