n_zones,zone_frac,impact_cov,violation_cov
1,0.0003946329913180742,0.052956876769318144,0.04062054985005612
2,0.0007892659826361484,0.08890958251031957,0.06938631908726901
3,0.0011838989739542227,0.12167208636800741,0.09172544354906265
4,0.0015785319652722968,0.15111464767550783,0.11641676020707332
5,0.001973164956590371,0.17793170691663113,0.13649416140327364
6,0.0023677979479084454,0.2018076911118687,0.1591080433580727
7,0.0027624309392265192,0.22449298520054836,0.1754393606862236
8,0.0031570639305445935,0.24471265364863026,0.1897032954145655
9,0.003551696921862668,0.26277379657111016,0.20408785538373905
10,0.003946329913180742,0.2770502633318651,0.21525239156293455
11,0.004340962904498816,0.29012121295366317,0.2274925028062122
12,0.004735595895816891,0.30285023089902025,0.23780931159845198
13,0.005130228887134964,0.3150948373079366,0.2475732547035467
14,0.0055248618784530384,0.32702823901664446,0.2562582720434251
15,0.005919494869771113,0.33834608022677404,0.2651476821524904
16,0.006314127861089187,0.34945007338838624,0.27454304813282177
17,0.006708760852407261,0.35970967234435935,0.2829130995660842
18,0.007103393843725336,0.36991644426344594,0.2909346780813885
19,0.00749802683504341,0.38006979077131536,0.29947226457136156
20,0.007892659826361484,0.38992668842910594,0.3079294342341135
21,0.008287292817679558,0.39926814972760266,0.3151770007874148
22,0.008681925808997633,0.408111039203626,0.32259210239742664
23,0.009076558800315706,0.4166876005525463,0.33101576504883645
24,0.009471191791633781,0.4247982301901085,0.337351940893632
25,0.009865824782951855,0.4318484508811009,0.3424081489051584
26,0.010260457774269928,0.4388069876924895,0.349139707483791
27,0.010655090765588003,0.44538775096430216,0.3538641960830304
28,0.011049723756906077,0.4519435975449238,0.3582368610631775
29,0.011444356748224152,0.4584403448475223,0.36439209904672554
30,0.011838989739542225,0.4648792786048503,0.3696761547353784
31,0.0122336227308603,0.47094346156594896,0.37439059123121515
32,0.012628255722178374,0.4768890562029088,0.38026772102062356
33,0.013022888713496448,0.48283209670173155,0.38505587294141297
34,0.013417521704814523,0.48875538811703034,0.3899177402871551
35,0.013812154696132596,0.4942858539885009,0.3946924894034077
36,0.014206787687450671,0.49981352556059555,0.3991455712107759
37,0.014601420678768745,0.5052750869610065,0.4038566570054784
38,0.01499605367008682,0.5105784982007352,0.40827288110037024
39,0.015390686661404893,0.5157220638894974,0.4125818827589673
40,0.01578531965272297,0.5206465218778636,0.41790949756236495
41,0.01617995264404104,0.5253803197610684,0.4220844711755935
42,0.016574585635359115,0.530059433835795,0.4275695689322991
43,0.01696921862667719,0.5345885262403592,0.4320930154634857
44,0.017363851617995266,0.5389732314583402,0.4356715642748245
45,0.017758484609313337,0.5433527513857054,0.43932382851111595
46,0.018153117600631413,0.5476897068981659,0.4430028983564811
47,0.018547750591949488,0.5519794783454933,0.4462329742498618
48,0.018942383583267563,0.5560987398737193,0.4495669218784031
49,0.019337016574585635,0.5602172432574407,0.4533766690680025
50,0.01973164956590371,0.564267406447606,0.45706914171790447
51,0.020126282557221785,0.5681119387114031,0.46051031178274054
52,0.020520915548539857,0.5719388605479059,0.4644909447301848
53,0.020915548539857932,0.5757191206422256,0.467429509624889
54,0.021310181531176007,0.5794073221806372,0.4712124512054147
