h3,lat,lon,area,cost_year,CIS,n_parking
8960145b423ffff,12.978526573156591,77.5819730894831,Railway Officers Enclave,48468.85761589404,66.5,889
89618926397ffff,12.840364438188738,77.64644298941454,Ajmera Annex,64522.21026490068,66.2,1122
89618920927ffff,12.932166211195808,77.68774993058796,Vajram Onyx,57657.30960264901,66.11,880
8960145b49bffff,12.972061070861429,77.59751074869045,Walton Road Circle,45847.98841059603,66.1,876
8960145b077ffff,12.997805905424,77.56905859325387,Parisara Organic Junction,46880.865894039736,65.76,815
8960145b147ffff,12.992510341531737,77.55392942506437,KPTCL Quarters,62309.850993377484,65.51,1054
89618925c6bffff,12.936720269265134,77.61557244387359,Koramangala,46567.83609271524,65.31,868
89601690c2bffff,13.191039786640756,77.64517618448407,Sadahalli Gate Junction,51102.5380794702,65.12,825
8961892c96fffff,13.048010786985785,77.5765189678923,Nagashetty Halli,51770.77814569537,64.79,909
8960145b437ffff,12.975322351878015,77.581317598356,Maharani College Junction,43963.76655629139,64.53,740
8960145b063ffff,13.001009906965388,77.56971391430437,Acharya Sri Ramanuja Circle,42246.33278145696,64.41,737
896189242afffff,12.9056646806173,77.62889099881725,BKL Colony,46356.32947019868,64.29,724
89601458493ffff,12.96905246033686,77.5378998091042,Police Quarters,41643.96192052981,64.25,734
8960145b5d7ffff,12.967855321823299,77.57698046332845,Medarpet,41053.435430463585,64.07,695
89618920a2bffff,12.966276129135844,77.71725580605394,Vijetha Lapis Lazati,51675.29801324505,63.87,876
89618920973ffff,12.938544576095943,77.69749775856803,Darshan Layout,39754.784768211925,63.58,611
8960145849bffff,12.972256014821763,77.53855451500966,Vijaya Nagar,38748.013245033115,63.54,679
8961892e923ffff,12.985937751109661,77.60316119029105,Shivaji Nagar,39154.105960264904,63.52,681
8961892e9afffff,12.980587322353712,77.60487669651708,Tasker Town,37436.67218543047,63.49,646
8960145b3afffff,13.0032068760867,77.55049845089017,Dr M Munivenkataswamy Circle,43325.01655629139,63.47,756
89618926387ffff,12.842513524410172,77.64407186156959,Himagiri Residency,44323.32781456954,63.31,814
8961892421bffff,12.912041936787116,77.63863034904476,The Metropolitan Cooperative Housing Society,41370.695364238425,62.78,784
8961892e94fffff,12.995523330260134,77.61355582015858,Silver Enclave,45093.2119205298,62.5,871
8960145a22fffff,12.9658489119973,77.53724512164958,RPC Layout,42165.96026490066,62.34,710
8960145b017ffff,12.990311883618732,77.57314493918025,Shree MG Seshadri Circle,34661.70529801325,62.3,656
8960145b52bffff,12.974319269628984,77.56144617373971,Annapurneshwari Industrial Area,35207.39238410596,62.22,590
89618925403ffff,12.925788117578264,77.67800356819558,Bellandur Circle,43409.61920529802,62.2,794
8961892e0cfffff,12.995227461434123,77.69786823764227,Phoenix Marketcity,40939.34271523179,62.04,626
8960145b6a3ffff,12.993461365885471,77.59064881109155,Kumar Park,53553.47682119205,61.79,969
8960145b103ffff,12.986102812430351,77.55261939882277,Bescom Employees House Building Cooperative Society,35871.523178807955,61.73,658
8961892eca7ffff,12.9697667624083,77.64201827171635,Indiranagar,34434.12417218543,61.67,618
89601459563ffff,13.031029347929858,77.53652471455982,Gorguntepalya Junction,33710.77152317881,61.57,537
8960145b32bffff,13.011758576354396,77.54943790760471,Kirloskar Foundry,35165.09105960266,61.54,611
8961892541bffff,12.926845510906242,77.68103314188804,Citilights Liberty Apartment,45228.5761589404,61.32,781
8960145b06bffff,13.004213914408993,77.5703692538205,Malleshwara Extension,37335.149006622516,61.26,676
8961892eba3ffff,13.000873807961767,77.6118402142471,Sri Ramakrishnappa Circle,35905.3642384106,61.2,676
89618925b2fffff,12.958242867967453,77.57501437964191,Bangalore Medical College & Research Institute,36768.31125827815,61.16,630
8960145b5c3ffff,12.971059485347478,77.57763586148468,Balepete,31370.662251655634,61.11,541
8960145b697ffff,12.990229191548597,77.59841842632342,Rajiv Gandhi Colony,35919.38410596027,60.64,619
8960145b3d3ffff,13.006358679608425,77.56799836219616,Malleshwara Extension,40101.65562913908,60.32,753
8960145b10fffff,12.988247504861445,77.55024899689585,Dhobi Ghat Junction,31293.673841059608,60.14,493
896014594d3ffff,13.028786617133447,77.57258599278444,Armane Nagar,30427.34271523179,59.8,541
8960169019bffff,13.188813573113377,77.6812994656458,Begur Chikkanahalli,35169.32119205299,59.58,620
8960145b4dbffff,12.979528676651015,77.60184944191849,Prestige Central,29490.791390728482,59.47,494
89618925957ffff,12.937900440658,77.58490149940478,Madhavan Circle,30181.995033112584,59.27,544
89618925357ffff,12.960120410127331,77.64847790899147,Manipal Hospital Junction,29107.90397350994,59.19,518
8961892e55bffff,12.979197566101265,77.69458049784022,Doddanekundi,33204.00165562914,59.1,489
8961892e28fffff,13.010198930448741,77.6981252860406,YSM Layout,29154.07284768212,58.9,431
8961892530bffff,12.959062323601188,77.64544922429569,Anjaneya Techno Park,32697.715231788083,58.79,630
8960145a06bffff,12.95194839831039,77.54002092015361,BR Pura,35710.77814569536,58.53,590
89618925983ffff,12.926141126000603,77.5853057699289,Jayanagar,26184.51986754967,58.28,425
8961892ed2fffff,12.973061369991267,77.61739020563411,Craig Park Layout,29674.379139072855,58.19,545
89618924053ffff,12.893868074596934,77.63772012114136,Chikka Biddappa Layout,30571.16721854305,58.16,518
8960145b303ffff,13.008529268490514,77.55720481371395,Rajaji Nagar,31573.70860927153,58.15,551
8960145b583ffff,12.963592603741283,77.57329905534101,Chanda Nagar,35824.991721854305,58.08,548
89618925d97ffff,12.907909448382473,77.60124501094569,Sarakki Industrial Layout,31247.98841059603,58.07,601
89618924203ffff,12.910984533466166,77.63560250473422,The Metropolitan Cooperative Housing Society,31827.516556291393,58.05,586
8961892e907ffff,12.984850592590833,77.60856005190705,Quadrant Square,30998.410596026497,57.87,524
8961892ed2bffff,12.974119829068249,77.62041797846462,Begum Mahal Junction,26566.07781456954,57.8,485
89618920a3bffff,12.96412754800157,77.71962931827424,Brigade Tech Gardens,32969.652317880806,57.79,558
89618925b03ffff,12.956068102101627,77.58580820442012,Dr Sri Shantaveera Swami Circle,22969.619205298015,57.64,448
89618920a23ffff,12.963069801662392,77.71659793883055,Pebble Creek,33587.25165562914,57.62,568
8961892ecbbffff,12.971883301556439,77.64807571857924,The Junction,28722.599337748346,57.45,423
8960145b18bffff,12.98181316981345,77.55736029358474,SSI Industrial Area,24888.89072847682,57.38,444
89601458497ffff,12.96799361739875,77.53487517932844,Ganga Government Quarters,24027.152317880795,57.16,439
8961892e01bffff,12.994169116621704,77.69483736377013,VR Mall,28880.80629139073,57.14,435
8960145b1a7ffff,12.977577442578212,77.5452590949821,Sindhya Sunshine Apartment,27257.281456953646,57.09,508
896014586c7ffff,13.000028978304872,77.5414225083323,Shankarmata Circle,26269.122516556294,57.07,445
896014582dbffff,13.017155979466725,77.53088068376357,Nandini Layout,29420.571192052983,57.02,447
8960145a30bffff,12.959469114076068,77.52751727148758,Sri Basaveshwara HBCS,40012.822847682124,56.94,680
8961892e997ffff,12.97520764800235,77.61501862776264,WEBBS Circle Junction,24285.190397350998,56.91,467
8960145b113ffff,12.983958034076954,77.5549898310549,Bhashyam Circle,22343.55960264901,56.88,398
8960145b02fffff,12.995687681902316,77.5630065542416,Nagappa Block,30110.082781456957,56.87,549
8961892e483ffff,12.970573034648806,77.71250887103814,SJR Brooklyn Apartment,29653.228476821194,56.67,487
8961892086bffff,12.951302116841699,77.71699781035542,Samhita Rainbow MTB Apartment,30102.468543046354,56.57,395
8960145b25bffff,13.024471752507864,77.58575336254034,HGH Layout,22910.397350993382,56.47,407
896189219cfffff,12.987597932862963,77.73570523171428,Sadaramangala Industrial Area,36188.78311258279,56.27,553
8961892c9c7ffff,13.03728868400129,77.5883761716097,Vinayaka Nagar,24179.43708609272,56.23,432
89618925c03ffff,12.926016584498955,77.61900292915767,Koramangala,27064.387417218546,56.22,527
8960145b5d3ffff,12.968913927498763,77.58000667150064,Avenue Circle,21171.812913907284,55.93,360
89618925a23ffff,12.963506095880321,77.59857039427168,Divyasree Chambers,32436.655629139073,55.91,633
8961892420fffff,12.91313222590844,77.6332310466107,HSR Layout,26734.437086092716,55.81,454
8960145b08fffff,12.988166741659498,77.57551580880667,Seshadripuram Police Station Junction,21396.00993377484,55.66,397
8961892e9b7ffff,12.975236734693159,77.60659217623126,Cauvery Junction,23140.637417218546,55.57,406
8960145b007ffff,12.992456939671657,77.57077409979827,Mill Corner Junction,19640.50496688742,55.29,357
896189259bbffff,12.927229543319747,77.57990926552993,Shri Vinayaka Circle,25321.57284768212,55.26,493
8960145b11bffff,12.987161835267756,77.55564487253253,Rajaji Nagar,21789.412251655634,55.2,393
8960145a2cfffff,12.965794056749823,77.55408517514634,JJR Nagar Circle,21679.42880794702,55.1,377
8960145b4b3ffff,12.968885400675415,77.58843043512006,Hudson Circle,23784.342715231793,55.08,441
8961892eca3ffff,12.970825032397935,77.64504693334096,Old Thippasandra,23460.314569536426,55.02,383
8960145b097ffff,12.982817365662592,77.57723127422814,Padmashree RMP Aaradhya Circle,21823.25331125828,54.99,407
89618920a37ffff,12.959863480153562,77.71594009011828,Maruthi Emerald,27368.956953642384,54.89,458
8960145b5cfffff,12.973204957372749,77.5752650816959,Upparpet Junction,20643.046357615895,54.79,358
89618925a5bffff,12.972002910151469,77.61436255651213,Mittal Towers,22017.83940397351,54.69,422
8960145b42fffff,12.98067201233866,77.57960216674402,Railway Officers Enclave,22182.814569536426,54.57,395
8960145845bffff,12.987214761433934,77.53880335529601,Havanur Circle,21078.75,54.33,345
89618925123ffff,12.93345253875046,77.63176943519346,ST Bed Layout Extension,29754.75165562914,54.3,575
8960145b0cbffff,12.996693010775866,77.58287971151503,RV Layout,18311.03476821192,54.25,303
89618925913ffff,12.931491811934931,77.58359060435983,Da Ra Bendre Circle,19032.211920529804,54.02,346
8960145844bffff,12.98935914312988,77.53643321778709,Havanur Circle,21514.453642384105,54.01,358
89618925a7bffff,12.972032127409175,77.60593625462373,Brigade Road Junction,20863.013245033115,53.9,334
89618920ba3ffff,12.948162788264312,77.69947024215966,Soulspace Paradigm,23098.33609271523,53.89,366
8960145b10bffff,12.989306573982473,77.5532744027143,KEB Quarters,26937.48344370861,53.84,458
8961892cb4bffff,13.071475599529276,77.59256261062075,Vista Pixel,20143.89072847682,53.32,358
8960145b1abffff,12.981840079101731,77.54893911965907,GEF Block,22906.16721854305,53.3,402
896014586d3ffff,12.998943923006399,77.5468180846953,Manjunatha Nagar,20619.35761589404,53.17,352
