veh_frac,vio_cov
4.3123894950191905e-06,0.00018428856238167837
0.000500237181422226,0.008805642580710014
0.000996161973349433,0.014970932667660707
0.0014920867652766397,0.02016787012682404
0.0019880115572038465,0.024741577175023875
0.0024839363491310535,0.02889979728258138
0.0029798611410582604,0.03275310358692556
0.0034757859329854674,0.036288093283519576
0.003971710724912674,0.03975606895742934
0.004467635516839881,0.04287222101224681
0.004963560308767088,0.04595486605572216
0.005459485100694295,0.04883646903114477
0.005955409892621502,0.051533783444185695
0.006451334684548708,0.05423109785722662
0.006947259476475915,0.056928412270267556
0.007443184268403122,0.05953525775268475
0.007939109060330329,0.06184724153529126
0.008435033852257535,0.06415922531789776
0.008930958644184743,0.06647120910050427
0.009426883436111949,0.06878319288311079
0.009922808228039157,0.0710951766657173
0.010418733019966363,0.07319271557573422
0.010914657811893571,0.07511936872790631
0.011410582603820777,0.0770460218800784
0.011906507395747983,0.0789726750322505
0.012402432187675191,0.0808993281844226
0.012898356979602397,0.08282598133659468
0.013394281771529605,0.08475263448876677
0.013890206563456811,0.08667928764093887
0.014386131355384019,0.08860594079311096
0.014882056147311225,0.09053259394528305
0.015377980939238431,0.09220124311012079
0.01587390573116564,0.09374256563185847
0.016369830523092845,0.09528388815359615
0.01686575531502005,0.09682521067533381
0.01736168010694726,0.09836653319707149
0.017857604898874467,0.09990785571880915
0.018353529690801673,0.10144917824054683
0.01884945448272888,0.10299050076228451
0.019345379274656085,0.10453182328402218
0.019841304066583295,0.10607314580575986
0.0203372288585105,0.10761446832749753
0.020833153650437707,0.1091557908492352
0.021329078442364913,0.11069711337097288
0.021825003234292123,0.11223843589271056
0.02232092802621933,0.11377975841444822
0.022816852818146535,0.1153210809361859
0.02331277761007374,0.11686240345792356
0.023808702402000947,0.11840372597966124
0.024304627193928157,0.11994504850139892
0.024800551985855363,0.12148637102313659
0.02529647677778257,0.12302434284374006
0.025792401569709775,0.12418033473504331
0.02628832636163698,0.12533632662634656
0.02678425115356419,0.1264923185176498
0.027280175945491397,0.12764831040895308
0.027776100737418603,0.12880430230025633
0.02827202552934581,0.12996029419155958
0.02876795032127302,0.13111628608286283
0.029263875113200225,0.1322722779741661
0.02975979990512743,0.13342826986546935
0.030255724697054637,0.1345842617567726
0.030751649488981844,0.13574025364807585
0.031247574280909053,0.13689624553937912
0.03174349907283626,0.13805223743068237
0.032239423864763465,0.13920822932198562
0.03273534865669067,0.14036422121328887
0.03323127344861788,0.14152021310459215
0.033727198240545084,0.1426762049958954
0.03422312303247229,0.14383219688719864
0.0347190478243995,0.1449881887785019
0.03521497261632671,0.14614418066980517
0.035710897408253915,0.14730017256110842
0.03620682220018112,0.14845616445241167
0.03670274699210833,0.1496121563437149
0.037198671784035534,0.1507681482350182
0.03769459657596274,0.15192414012632144
0.038190521367889946,0.1530801320176247
0.03868644615981715,0.15423612390892794
0.039182370951744365,0.1553921158002312
0.03967829574367157,0.15654810769153446
0.04017422053559878,0.1577040995828377
0.04067014532752598,0.15886009147414096
0.04116607011945319,0.1600160833654442
0.041661994911380396,0.16117207525674748
0.0421579197033076,0.16232806714805073
0.04265384449523481,0.16348405903935398
0.043149769287162014,0.16464005093065723
0.04364569407908922,0.1657960428219605
0.04414161887101643,0.16695203471326375
0.04463754366294364,0.168108026604567
0.045133468454870845,0.16926401849587025
0.04562939324679805,0.17042001038717353
0.04612531803872526,0.17157600227847677
0.046621242830652464,0.17273199416978002
0.04711716762257967,0.17388798606108327
0.047613092414506876,0.17504397795238655
0.04810901720643408,0.1761999698436898
0.048604941998361295,0.17735596173499305
0.0491008667902885,0.1785119536262963
0.04959679158221571,0.17966794551759957
0.050092716374142914,0.18082393740890282
0.05058864116607012,0.18197992930020607
0.051084565957997326,0.18313592119150932
0.05158049074992453,0.18392668665918344
0.05207641554185174,0.18469734792005227
0.052572340333778944,0.1854680091809211
0.05306826512570616,0.18623867044178993
0.05356418991763336,0.1870093317026588
0.05406011470956057,0.18777999296352763
0.054556039501487776,0.18855065422439646
0.05505196429341498,0.1893213154852653
0.05554788908534219,0.19009197674613412
0.056043813877269394,0.19086263800700295
0.0565397386691966,0.19163329926787182
0.057035663461123806,0.19240396052874065
0.05753158825305101,0.19317462178960948
0.058027513044978225,0.1939452830504783
0.05852343783690543,0.19471594431134714
0.05901936262883264,0.19548660557221598
0.059515287420759844,0.1962572668330848
0.06001121221268705,0.19702792809395367
0.060507137004614256,0.1977985893548225
0.06100306179654146,0.19856925061569133
0.06149898658846867,0.19933991187656017
0.061994911380395874,0.200110573137429
