h3,lat,lon,day,hour,window,risk,risk_low,risk_high,cell_rate
8961892e9bbffff,12.979499946671595,77.61027556237418,Sun,10,10:00-11:00,15.414430277320395,4.361744201257558,15.33100101652417,185.08695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,11,11:00-12:00,13.540486990215866,3.8937611820782765,15.121699401799248,289.8695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,10,10:00-11:00,13.427051475674352,3.8043934042063485,15.35083784493687,289.8695652173913
8961892e9bbffff,12.979499946671595,77.61027556237418,Sun,9,09:00-10:00,13.184826748543205,2.573220313571011,11.266417928284493,185.08695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,8,08:00-09:00,12.46184137542111,3.725277823509968,14.691065126537366,289.8695652173913
8961892e9bbffff,12.979499946671595,77.61027556237418,Sun,11,11:00-12:00,11.890990024071975,2.5392727701606588,11.344671592935292,185.08695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sun,9,09:00-10:00,11.883879220751519,3.6707305942024453,15.09786745113633,289.8695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Sun,9,09:00-10:00,11.528970194441909,4.469223405170856,13.28008231840242,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,9,09:00-10:00,11.438252209051576,4.308166295599455,11.924841956755456,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,8,08:00-09:00,11.172242760917005,4.432222627506417,11.998927810420541,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Tue,9,09:00-10:00,11.15842136267361,3.679311768408289,13.521997831950177,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Mon,8,08:00-09:00,10.460951482825886,4.005815248485872,11.862324543174429,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Sun,10,10:00-11:00,10.408786124317674,4.4713118526612385,13.28008231840242,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Tue,8,08:00-09:00,10.354325680770659,3.9510248075442345,11.2030401135472,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Mon,9,09:00-10:00,10.31150091697507,3.912685410362184,12.12471888895648,527.0869565217391
